TILEMAP
60 15							-- Size of tile map in tiles
32 64 128  							-- Tile width,height & block size
images/tileset_palace.png 	-- Tilesheet
10 7						-- Number of tiles in tilesheet
60,60,60,60,60,60,60,60,60,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
60,60,60,60,60,60,60,60,60,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
60,60,60,60,60,60,56,60,60,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,57,57,60,-1,
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,-1,
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,60,60,60,60,60,60,60,60,60,60,-1,
60,60,57,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,57,60,60,60,60,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,60,60,60,60,60,60,57,60,60,60,-1,
-1,-1,-1,-1,-1,60,60,-1,60,60,60,60,60,60,-1,-1,-1,-1,-1,-1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,60,60,60,60,60,60,60,60,60,
-1,-1,-1,-1,-1,60,-1,-1,-1,-1,-1,60,60,60,60,60,60,60,60,60,60,-1,-1,-1,60,60,60,60,60,-1,-1,-1,-1,-1,60,60,60,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,60,60,60,60,60,60,60,60,60,
60,60,60,60,60,-1,60,60,60,60,60,57,60,60,60,60,60,60,60,60,60,60,57,60,60,60,60,-1,-1,-1,-1,-1,-1,-1,60,60,60,60,26,26,60,60,60,60,60,60,60,60,60,60,60,-1,60,60,60,60,60,-1,-1,-1,
60,-1,-1,-1,-1,-1,60,60,60,60,-1,-1,-1,-1,-1,60,60,-1,-1,-1,-1,-1,-1,-1,60,60,60,-1,-1,-1,-1,60,60,60,60,60,57,60,26,26,60,60,60,60,60,60,60,57,60,60,60,60,57,60,60,60,60,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,59,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,59,-1,-1,-1,-1,-1,26,26,60,60,-1,-1,-1,-1,-1,60,-1,-1,60,60,60,60,60,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,59,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
